Runner,Time,Date
Michael McFadden,6.819,2004-08-04
Sceptus,5.922,2006-02-20
IsraeliRD,5.828,2006-05-09
Sceptus,4.812,2006-06-21
IsraeliRD,4.717,2006-08-17
Xelna,2.625,2006-08-24
Xelna,2.515,2006-08-XX
Blake100,???,2006-09-02
???,2.42,2007-04-21
Xelna,2.402,2009-01-18
Xelna,2.386,2009-01-18
Nature Freak,2.382,2015-08-17
Nature Freak,2.380,2015-11-05
Nature Freak,2.375,2015-11-05
Nature Freak,2.366,2015-11-06
Nature Freak,2.358,2015-11-07
StewMan46,2.348,2018-02-16
Nature Freak,2.345,2018-07-28
Dom,2.344,2021-08-08
Dom,2.343,2021-08-23
Dom,2.342,2021-10-28